file,sent_id,type,before_context,ours,reference,after_context,accept
br-b13,oiDj,replace,the easy control of a,2 - year old,2-year-old,child is a lack of,
br-b13,0Cd6,replace,conscience is non-existent in the,2 - year old.,2-year-old.,What can a mother do,
br-b13,8t3R,replace,"trying to ""Explain"" to a",2 - year old.,2-year-old.,Actions speak louder. Remove temptations.,
br-b14,1Cij,replace,became of old Joe and,Charlie;,Charlie,when one has inquired who,
br-b14,1Cij,replace,where it is they now,live;,live,when questions are asked and,
br-b14,1Cij,replace,and answered about families and,children;,"children,",and old professors; when the,
br-b14,1Cij,replace,families and children; and old,professors;,professors,when the game and its,
br-b14,1Cij,replace,its probable outcome has been,exhausted;,exhausted,that does it. By then,
br-b14,of56,replace,finished a sentence of any,length;,length,"then, it is time to",
br-b14,/ost,replace,"anything, worse on the old",player.,player,He sits in the stands,
br-b14,i2WS,replace,be granted the opportunity to,complete,compelte,its work before choosing up,
br-b16,LaHa,replace,of this letter were made,available,avaliable,to the press and public.,
br-b18,ozTb,replace,The school is located at,9 - 1 2,9-1/2,"Mile road, Woodward Heights. Visitors",
br-b19,+Obt,replace,should have signed his letter,""" Simpleton ""","""SIMPLETON""","instead of "" Simplicitude "".",
br-b19,+Obt,replace,""" Simpleton "" instead of",""" Simplicitude "".","""SIMPLICITUDE"".",Such kids only wind up,
br-b19,NxDy,replace,start on the road to,Totalitarianism.,Totalitarianism,The Commission has posted signs,
br-b19,1ub9,replace,motive? Who wants this deed,"done""? -","done""?-",in this small way do,
br-b19,9ERG,replace,"city, or of a nation,",inure,iniure,"the masses to watching, or",
br-b22,6319,replace,,One,resuming atmospheric tests. So the Commission's announcements,of the inescapable realities of,
br-b22,EGi6,replace,obvious- during the mid to,late' 50's -,late '50's-,the United States appeared to,
br-b23,/6vL,replace,"complaint in Browning's ""My Last","Duchess"".","Duchess"".)","He smiled, and said a",
br-b24,u/ay,replace,"Small, shirt-sleeved orchestras play in",2 4,2/4,"or 4 4 time, using",
br-b24,u/ay,replace,play in 2 4 or,4 4,4/4,"time, using guitars, violins, and",
br-b26,BbdI,replace,in the New York Times:,""" U. S.","""U.S.",Flier loses Plea. Indonesia Court,
br-b26,nj3r,replace,Indonesia Court Upholds Pope's Death,Sentence. -,Sentence.-,Indonesia Military Supreme Court has,
br-b26,YyxN,replace,me. Consider this table: Louis,"14, -","14,-","FDR. ""With no strong men",
br-b26,VRzq,replace,"table: Louis 14, - FDR.","""With",""" With",no strong men and no,
br-b26,9oGF,replace,"and decline"". Louis 15,- Eisenhower.","""He",""" he","opened his mouth, said little,",
br-b26,7hUr,replace,"at all"". Louis 16,- Kennedy.","""Not",""" not","completely virtuous, but completely incompetent"".",
br-b26,3ojs,replace,And Marie Antoinette- Jacqueline Bouvier.,"""the",""" the","beautiful and light-hearted"". French Revolution-",
br-b27,k984,replace,great writing and profound religion.,N. C. has said,N.C. HAS SAID,something important so well that,
br-b27,RhWE,replace,quote the whole piece. I,feel that N. C.,FEEL THAT N.C.,hit the very core of,
br-b27,vqn4,replace,in Southeast Asia or the,U. S. . Congratulations to N. C.,U.S.. CONGRATULATIONS TO N.C.,for successfully delving into the,
br-b27,elk3,replace,need in this amazing world.,N. C .'s editorial,N.C.'s EDITORIAL,"""Confrontation"" is a stunning piece",
br-b27,QFKK,delete,the Khrushchevs and the Castros,-,,but the Schweitzers and the,
br-b27,ypPZ,replace,"wrote, on page 50 of",SR /,SR/,Research for 4 March 1961:,
br-b27,bC7L,replace,impression than the prepublication excerpt.,"Sir Robert Watson-Watt's "" rebuttal ""","SIR ROBERT WATSON-WATT'S ""rebuttal""",of Sir Charles Snow's Godkin,
br-b27,sy7J,replace,"and military strategists alike"" a",""" perverted conclusion ... nonsense "".","""perverted conclusion. nonsense"".","It submits an enthusiastic, impressionistic",
br-c01,v43G,replace,"romantic score, Schumann's Overture to","Manfred,","""Manfred"",","which suffered fate, this time",
br-c01,qu3N,replace,"serious misfortune, for it demands",translucent,transluscent,"textures, buoyant rhythms, and astringent",
br-c01,AFxT,replace,"the Meadows gallery, 3211 Ellis","Ave.,","av.,","week days, 3 p. m.",
br-c01,k/uG,replace,continue all month. Abstractions and,semi abstractions,semi-abstractions,by Everett McNear are being,
br-c01,tVMk,replace,"Giovanni"", designed by Franco Zeffirelli.",H.,H,E. Bates has scribbled a,
br-c02,MC2v,replace,uncertain origin took hold. Samples,zoomed,soomed,into closeup range in regular,
br-c02,y6Yc,replace,turned out to be a,not quite perfect,not-quite-perfect,"example of either. Still, the",
br-c02,QZYI,replace,note. Thereafter the audience waxed,"applause happy,","applause-happy,",but discriminating operagoers reserved judgment,
br-c02,0Rzc,replace,"star release, Pass in Review",(SP 44001).,(SP-44001).,This features the marching songs,
br-c02,0qAR,replace,spirited volley. The Percussive Twenties,(SP 44006),(SP-44006),stirs pleasant memories with well-known,
br-c02,0qAR,replace,tingling jazz in Percussive Moods,(SP 44005).,(SP-44005).,Big Band Percussion (SP 44002),
br-c02,G35F,replace,(SP 44005). Big Band Percussion,(SP 44002),(SP-44002),seemed one of the least,
br-c02,/a9A,replace,and Percussion for Two Pianos,(SP 44007).,(SP-44007).,"All of the releases, however,",
br-c03,Unzz,replace,her best. The Rachmaninoff Prelude,"No .12,","No. 12,","Op. 32, for instance, gave",
br-c04,KUtg,replace,boy and who adopts a,10 - year old,10-year-old,to provide him with fresh,
br-c04,dPnV,replace,"begin, not to mention a",fledgling,fiedgling,"artist who he hires, and",
br-c04,dPnV,replace,particular respect to the hero's,sweetheart secretary.,sweetheart-secretary.,"John Heffernan, playing Larry Larkin,",
br-c04,rpMx,replace,"a rousing opening chorus, ""Where's","Charley?"" ,","Charley?"",",and Berman sifted out all,
br-c04,pARr,replace,of that distraction in this,"""Fiorello!"" )","""Fiorello!"")",It has all been done,
br-c05,8vVS,replace,again 'God will know his,"own '"".","own'"".",The collected works of James,
br-c05,ZtOY,replace,"a friend, ""is attempting the","impossible,",impossible,"namely, to produce upon the",
br-c05,c9B/,replace,thought it was a human,"being '"".","being'"".","In a sense, perhaps, Thurber",
br-c07,o2Nf,replace,disk called Musique Francaise du,"18, e","18,e",Siecle (BAM LD 060). Jean-Marie,
br-c07,M/Am,replace,and gracious. Maitres Allemands des,"17, e","17,e","et 18, e Siecles contains",
br-c07,M/Am,replace,"Allemands des 17, e et","18, e","18,e","Siecles contains music by Pachelbel,",
br-c08,NB3G,replace,"to Wander"", ""Alone Together"", ""Who","Cares? "" ,","Cares?"",","""Puttin' on the Ritz"", ""How",
br-c09,ooOV,replace,"note reads as follows: ""Take","hands,",hands,"this urgent visage beckons us"".",
br-c09,CKFP,replace,"Miss Tamiris' ""Once Upon a","Time "",","Time""","as well as her ""Women's",
br-c09,54gG,replace,"Miss Tamiris' ""Once Upon a","Time ""","Time""",is a problem piece about,
br-c09,FV/H,replace,them with extremely effective orchestral,accompaniment,accompanimen,Turning to the current musical,
br-c10,YAT2,delete,"lifted, allowing an intense awareness",...,,"a sharpening of the senses"".",
br-c10,s9rH,replace,""" Panama "", "" Toot,","Toot, Tootsie "", "" Oh","Tootsie"", ""Oh","Didn't He Ramble"", ""Beale Street",
br-c14,JtC8,replace,should welcome its super-charged impact.,""" Perhaps","""PERHAPS",it is better to stay,
br-c14,1B8d,replace,"and, of course, the trenchant",""" Rock","""Rock","'n' Roll "".",
br-c14,1B8d,replace,"the trenchant "" Rock 'n'","Roll "".","Roll"".",,
br-c15,iM8d,replace,"especially in their northern sections,","e. g.,","e.g.,",Wisconsin's Vilas County whose Colorama,
br-c15,iM8d,replace,whose Colorama celebration is Sept.,29 - Oct.,29-Oct.,"8. In Wisconsin, take route",
br-c15,XRfE,replace,visitor. The greenhouses alone cover,3 - 1 2,3-1/2,"acres. Carson McCullers, after a",
br-c17,O5tn,replace,"cherry-flavored No-Cal, which sells for",59,59@,per 8-oz. glass. Grocery stores,
br-d02,1UW1,replace,also evidenced by the extreme,"""culture Protestantism""","""culture-Protestantism""",so often observed to characterize,
br-d02,/GXH,replace,the luxury of such smug,indignation?,indigation?,Can the church risk assuming,
br-d03,KXqo,replace,on the Catholic side. For,"""the tide","the ""tide","is well on the turn"",",
br-d03,V9sD,replace,by Newman and the general,19th century,19th-century,"literature of England, I knew",
br-d03,YO2T,replace,"Shepherd, the vicar of thy","Son "".","Son"".",A hymn often to be,
br-d03,LozM,replace,is the suggestion that they,"are' un English""'.","are 'un-English'"".","In this connection, it has",
br-d03,TQ86,replace,have taken place since the,mid 19th,mid-19th,century is the situation of,
br-d03,4S80,replace,was interesting to observe that,B.B.C. .'s,B.B.C.'s,television film on Christmas Eve,
br-d05,9Wg7,replace,"remember, this is Channing, not",Parker! -that,Parker!- that,should a minister in Boston,
br-d06,6kfL,replace,in the world. n an,"amateu6rish,","amateurish,",yet in a very real,
br-d06,SbDP,replace,family of your earthly father.,""" God","""God","so loved the world, that",
br-d06,SbDP,replace,"not perish, but have everlasting","life "",","life"",","and ""as many as received",
br-d07,MXNZ,replace,,""" The","""The",Lord is my light and,
br-d07,VUV9,replace,"He said: ""Let there be","light""! -those","light""!- those",were His very first creative,
br-d07,aUDH,replace,into the midst of the,sea.,sea,"Come, behold the works of",
br-d08,/nD6,replace,"universe was ruled by Heaven,",T' ien -,T'ien-,"as a natural force, or",
br-d09,4uMx,replace,person. (See sample on pp.,78 - 79.),78-79.),The fourth session may be,
br-d09,VWpK,replace,for the learning process. Use,dramatization -,dramatization-,"for example, in discussing the",
br-d09,4hoY,replace,"""The Duties of Church Members"",",etc. .,etc..,Assign a series of catechism,
br-d11,nCjn,replace,"men will choose the latter"".",""" If","""If",Philip Toynbee is claiming that,
br-d11,7Pm4,replace,was not only evil but,""" also","""also","irredeemably evil "", then he",
br-d11,7Pm4,replace,"evil but "" also irredeemably","evil "",","evil"",","then he might ""think it",
br-d15,RwMG,replace,day going up Mount Tien,"Tai,",Tai,which was believed to have,
br-d15,nknP,replace,him as a true Mahayanist.,"(1) ""A","(1)"" A",second tale shows still more,
br-d16,YH2O,replace,God. All have gone astray,together.,together;,All have sinned and have,
br-d16,fic0,replace,"see the kingdom of God"".",""" Amen,","""Amen,","amen, I say to thee,",
br-d16,oEnL,replace,wonder that I said to,"thee,' You","thee, 'You","must be born again '"".",
br-d16,oEnL,replace,"thee,' You must be born","again '"".","again'"".","St. John 3:3, 5 -",
br-d17,BCNt,replace,appear outside our windows shouting,""" Paredon! Paredon ""!","""Paredon! Paredon!""",What should I do? I,
br-e01,zq1J,replace,"things"" because ""you'll stunt your","growth ""","growth""",or because childish taunts from,
br-e01,zq1J,replace,"taunts from his schoolmates, like",""" Hey,","""Hey","lookit Mr. America, whaddya gonna",
br-e01,zq1J,replace,"like "" Hey, lookit Mr.","America,",America,whaddya gonna do with all,
br-e01,6DB1,replace,never had to train in,secret;,secret,has never heard one unkind,
br-e01,6DB1,replace,one unkind word from his,parents;,parents,and never has been taunted,
br-e01,n3Eo,replace,is our new Junior Mr.,Canada -,Canada-,Henri de Courcy. Far from,
br-e01,8hvM,delete,tibialis anticus of the leg,-,,"and better still, he knows",
br-e01,lhja,replace,who is our newest Mr.,Canada;,Canada,"Jean-Paul Senesac, whose story appeared",
br-e01,lhja,replace,story appeared here two issues,ago;,ago,"Jack Boissoneault, who was with",
br-e01,lhja,replace,who was with us last,month;,month,"Charles Harve, who recently won",
br-e01,lhja,replace,award in the Mr. Canada,event;,event,and a host of others.,
br-e01,nT7u,replace,and a host of others.,"Yesiree,",Yesiree,the professor knows his muscles!,
br-e01,DyAQ,replace,12 he was only 4',"10""",10'',tall and weighed an astounding,
br-e01,i0wA,replace,"could do for him. Well,","sir,",sir,they did real great! For,
br-e01,8NU5,delete,course he did some exercising,-,,he's crazy about water skiing,
br-e01,fk1W,replace,"Henri. ""It never seemed to","widen,",widen,it just got longer and,
br-e01,bJ50,replace,he has long favored the,now famous,now-famous,Weider Push-Pull Super-Set technique in,
br-e01,Bl2e,replace,Push-Pull Super-Set consisting of the,wide grip,wide-grip,"Straight-Arm Pullover (the ""pull"" part",
br-e01,Bl2e,replace,of the upper back and,"chest,",chest,and the collar-to-collar Bench Press,
br-e01,7bva,replace,Push-Pull Super Set the entire,chest back shoulder,chest-back-shoulder,area is vigorously exercised in,
br-e01,7bva,replace,in alternate sectors by alternate,"exercises,",exercises,so the complete torso remains,
br-e01,fzWw,replace,width and mass in the,pecs. The,pecs the,dumbbell variation develops a most,
br-e01,Ps0o,replace,this manner is the greatest,pectoral rib cage,pectoral-ribcage,stretcher ever invented! This is,
br-e01,8t9S,replace,the bodybuilder to use a,wide grip. He,w-i-d-e grip he,has to; he just can't,
br-e01,v5HA,replace,By this time Henri's entire,chest back - lat shoulder,chest-back-lat-shoulder,area is pumped-up to almost,
br-e01,72b5,replace,that invariably wins contests that,"steel edged ""carved out of solid","steel-edged ""carved-out-of-solid","rock"" looks of the great",
br-e01,yw4U,replace,Courcy has had a terrific,"mass building, muscle shaping, torso defining","mass-building, muscle-shaping, torso-defining",workout that cannot be improved,
br-e01,7y1Z,replace,rarely won on muscle size,alone. Rarer,alone rarer,still is a Mr. America,
br-e01,WlIe,replace,"acquire with occasional high-set, high-rep,",light weight,light-weight,workouts. But contest definition- that,
br-e01,oMoM,delete,apart from all other bodybuilders,-,,"a criterion of muscle ""drama""",
br-e01,oMoM,delete,to judges and audiences alike,-,,the facet of muscular development,
br-e01,cU4t,replace,effective: It's a complete thigh,contraction extension,contraction-extension,exercise. It places terrific tension,
br-e01,dIVF,replace,a heavy Clean. Place a,suitably loaded,suitably-loaded,barbell across them; grasp the,
br-e01,Jrnd,replace,when you make your first,"experiments,",experiments,just for safety. You should,
br-e01,EWfC,replace,you become accustomed to it,balance wise.,balance-wise.,"Oh, you'll wobble and weave",
br-e02,urZ2,replace,"it was loose, spongy and",brown black.,brown-black.,I fingered it and had,
